port,name,description
20,ftp-data,FTP
21,ftp,FTP
22,ssh,SSH
63,whoispp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
63,whois++,whois++
63,whoispp,"whois++ IANA assigned this well-formed service name as a replacement for ""whois++""."
63,whois++,whois++
66,sql-net,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net""."
66,sql*net,Oracle SQL*NET
66,sql-net,"Oracle SQL*NET IANA assigned this well-formed service name as a replacement for ""sql*net""."
66,sql*net,Oracle SQL*NET
80,http,HTTP
143,imap,Internet Message Access Protocol
172,cl-1,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
172,cl/1,Network Innovations CL/1
172,cl-1,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1""."
172,cl/1,Network Innovations CL/1
179,bgp,BGP
210,z39-50,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50""."
210,z39.50,ANSI Z39.50
210,z39-50,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50""."
210,z39.50,ANSI Z39.50
211,914c-g,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g""."
211,914c/g,Texas Instruments 914C/G Terminal
211,914c-g,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g""."
211,914c/g,Texas Instruments 914C/G Terminal
247,subntbcst-tftp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
247,subntbcst_tftp,SUBNTBCST_TFTP
247,subntbcst-tftp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp""."
247,subntbcst_tftp,SUBNTBCST_TFTP
270,gist,Q-mode encapsulation for GIST messages
271,pt-tls,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)
323,rpki-rtr,Resource PKI to Router Protocol
324,rpki-rtr-tls,Resource PKI to Router Protocol over TLS
363,rsvp-tunnel,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
363,rsvp_tunnel,RSVP Tunnel
363,rsvp-tunnel,"RSVP Tunnel IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
363,rsvp_tunnel,RSVP Tunnel
399,iso-tsap-c2,ISO Transport Class 2 Non-Control over TCP
399,iso-tsap-c2,ISO Transport Class 2 Non-Control over UDP
428,ocs-cmu,"OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
428,ocs_cmu,OCS_CMU
428,ocs-cmu,"OCS_CMU IANA assigned this well-formed service name as a replacement for ""ocs_cmu""."
428,ocs_cmu,OCS_CMU
429,ocs-amu,"OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu""."
429,ocs_amu,OCS_AMU
429,ocs-amu,"OCS_AMU IANA assigned this well-formed service name as a replacement for ""ocs_amu""."
429,ocs_amu,OCS_AMU
442,cvc-hostd,"cvc_hostd IANA assigned this well-formed service name as a replacement for ""cvc_hostd""."
442,cvc_hostd,cvc_hostd
442,cvc-hostd,"cvc_hostd IANA assigned this well-formed service name as a replacement for ""cvc_hostd""."
442,cvc_hostd,cvc_hostd
443,https,HTTPS
456,macon-tcp,macon-tcp
456,macon-udp,macon-udp
465,urd,URL Rendezvous Directory for SSM
465,submissions,Message Submission over TLS protocol
465,igmpv3lite,IGMP over UDP for SSM
474,tn-tl-w1,tn-tl-w1
474,tn-tl-w2,tn-tl-w2
512,exec,remote process execution; authentication performed using passwords and UNIX login names
512,biff,used by mail system to notify users of new mail received; currently receives messages only from processes on the same machine
513,login,"remote login a la telnet; automatic authentication performed based on priviledged port numbers and distributed data bases which identify ""authentication domains"""
513,who,maintains data bases showing who's logged in to machines on a local net and the load average of the machine
514,shell,"cmd like exec, but automatic authentication is performed as for login server"
520,efs,extended file name server
520,router,local routing process (on site); uses variant of Xerox NS routing information protocol - RIP
623,oob-ws-http,DMTF out-of-band web services management protocol
623,asf-rmcp,ASF Remote Management and Control Protocol
625,dec-dlm,"DEC DLM IANA assigned this well-formed service name as a replacement for ""dec_dlm""."
625,dec_dlm,DEC DLM
625,dec-dlm,"DEC DLM IANA assigned this well-formed service name as a replacement for ""dec_dlm""."
625,dec_dlm,DEC DLM
631,ipps,Internet Printing Protocol over HTTPS
664,oob-ws-https,DMTF out-of-band secure web services management protocol
664,asf-secure-rmcp,ASF Secure Remote Management and Control Protocol
716,pana,PANA Messages
750,kerberos-iv,kerberos version iv
774,acmaint-dbd,"IANA assigned this well-formed service name as a replacement for ""acmaint_dbd""."
775,acmaint-transd,"IANA assigned this well-formed service name as a replacement for ""acmaint_transd""."
810,fcp-udp,FCP
810,fcp-udp,FCP Datagram
853,domain-s,DNS query-response protocol run over TLS
853,domain-s,DNS query-response protocol run over DTLS or QUIC
861,owamp-control,OWAMP-Control
861,owamp-test,OWAMP-Test
862,twamp-control,TWAMP-Control
862,twamp-test,TWAMP-Test Receiver Port
887,iclcnet-svinfo,"ICL coNETion server info IANA assigned this well-formed service name as a replacement for ""iclcnet_svinfo""."
887,iclcnet_svinfo,ICL coNETion server info
887,iclcnet-svinfo,"ICL coNETion server info IANA assigned this well-formed service name as a replacement for ""iclcnet_svinfo""."
887,iclcnet_svinfo,ICL coNETion server info
888,cddbp,CD Database Protocol
902,ideafarm-door,self documenting Telnet Door
902,ideafarm-door,self documenting Door: send 0x00 for info
903,ideafarm-panic,self documenting Telnet Panic Door
903,ideafarm-panic,self documenting Panic Door: send 0x00 for info
914,rift-lies,"Routing in Fat Trees Link Information Elements (TEMPORARY - registered 2023-02-17, expires 2024-02-17)"
915,rift-ties,"Routing in Fat Trees Topology Information Elements (TEMPORARY - registered 2023-02-17, expires 2024-02-17)"
953,rndc,BIND9 remote name daemon controller
993,imaps,IMAP over TLS protocol
995,pop3s,POP3 over TLS protocol
995,pop3s,pop3 protocol over TLS/SSL (was spop3)
999,applix,Applix ac
1001,webpush,HTTP Web Push
1027,6a44,IPv6 Behind NAT44 CPEs
1067,instl-boots,"Installation Bootstrap Proto. Serv. IANA assigned this well-formed service name as a replacement for ""instl_boots""."
1067,instl_boots,Installation Bootstrap Proto. Serv.
1067,instl-boots,"Installation Bootstrap Proto. Serv. IANA assigned this well-formed service name as a replacement for ""instl_boots""."
1067,instl_boots,Installation Bootstrap Proto. Serv.
1068,instl-bootc,"Installation Bootstrap Proto. Cli. IANA assigned this well-formed service name as a replacement for ""instl_bootc""."
1068,instl_bootc,Installation Bootstrap Proto. Cli.
1068,instl-bootc,"Installation Bootstrap Proto. Cli. IANA assigned this well-formed service name as a replacement for ""instl_bootc""."
1068,instl_bootc,Installation Bootstrap Proto. Cli.
1110,webadmstart,Start web admin server
1110,nfsd-keepalive,Client status info
1138,encrypted-admin,"encrypted admin requests IANA assigned this well-formed service name as a replacement for ""encrypted_admin""."
1138,encrypted_admin,encrypted admin requests
1138,encrypted-admin,"encrypted admin requests IANA assigned this well-formed service name as a replacement for ""encrypted_admin""."
1138,encrypted_admin,encrypted admin requests
1182,accelenet,AcceleNet Control
1182,accelenet-data,AcceleNet Data
1313,bmc-patroldb,"BMC_PATROLDB IANA assigned this well-formed service name as a replacement for ""bmc_patroldb""."
1313,bmc_patroldb,BMC_PATROLDB
1313,bmc-patroldb,"BMC_PATROLDB IANA assigned this well-formed service name as a replacement for ""bmc_patroldb""."
1313,bmc_patroldb,BMC_PATROLDB
1382,udt-os,"udt_os IANA assigned this well-formed service name as a replacement for ""udt_os""."
1382,udt_os,udt_os
1382,udt-os,"udt_os IANA assigned this well-formed service name as a replacement for ""udt_os""."
1382,udt_os,udt_os
1385,atex-elmd,"Atex Publishing License Manager IANA assigned this well-formed service name as a replacement for ""atex_elmd""."
1385,atex_elmd,Atex Publishing License Manager
1385,atex-elmd,"Atex Publishing License Manager IANA assigned this well-formed service name as a replacement for ""atex_elmd""."
1385,atex_elmd,Atex Publishing License Manager
1407,tibet-server,TIBET Data Server
1416,novell-lu6-2,"Novell LU6.2 IANA assigned this well-formed service name as a replacement for ""novell-lu6.2""."
1416,novell-lu6.2,Novell LU6.2
1416,novell-lu6-2,"Novell LU6.2 IANA assigned this well-formed service name as a replacement for ""novell-lu6.2""."
1416,novell-lu6.2,Novell LU6.2
1454,interhdl-elmd,"interHDL License Manager IANA assigned this well-formed service name as a replacement for ""interhdl_elmd""."
1454,interhdl_elmd,interHDL License Manager
1454,interhdl-elmd,"interHDL License Manager IANA assigned this well-formed service name as a replacement for ""interhdl_elmd""."
1454,interhdl_elmd,interHDL License Manager
1461,ibm-wrless-lan,"IBM Wireless LAN IANA assigned this well-formed service name as a replacement for ""ibm_wrless_lan""."
1461,ibm_wrless_lan,IBM Wireless LAN
1461,ibm-wrless-lan,"IBM Wireless LAN IANA assigned this well-formed service name as a replacement for ""ibm_wrless_lan""."
1461,ibm_wrless_lan,IBM Wireless LAN
1464,msl-lmd,"MSL License Manager IANA assigned this well-formed service name as a replacement for ""msl_lmd""."
1464,msl_lmd,MSL License Manager
1464,msl-lmd,"MSL License Manager IANA assigned this well-formed service name as a replacement for ""msl_lmd""."
1464,msl_lmd,MSL License Manager
1486,nms-topo-serv,"nms_topo_serv IANA assigned this well-formed service name as a replacement for ""nms_topo_serv""."
1486,nms_topo_serv,nms_topo_serv
1486,nms-topo-serv,"nms_topo_serv IANA assigned this well-formed service name as a replacement for ""nms_topo_serv""."
1486,nms_topo_serv,nms_topo_serv
1493,netmap-lm,"netmap_lm IANA assigned this well-formed service name as a replacement for ""netmap_lm""."
1493,netmap_lm,netmap_lm
1493,netmap-lm,"netmap_lm IANA assigned this well-formed service name as a replacement for ""netmap_lm""."
1493,netmap_lm,netmap_lm
1549,shivahose,Shiva Hose
1549,shivasound,Shiva Sound
1556,veritas-pbx,"VERITAS Private Branch Exchange IANA assigned this well-formed service name as a replacement for ""veritas_pbx""."
1556,veritas_pbx,VERITAS Private Branch Exchange
1556,veritas-pbx,"VERITAS Private Branch Exchange IANA assigned this well-formed service name as a replacement for ""veritas_pbx""."
1556,veritas_pbx,VERITAS Private Branch Exchange
1580,tn-tl-r1,tn-tl-r1
1580,tn-tl-r2,tn-tl-r2
1587,pra-elmd,"pra_elmd IANA assigned this well-formed service name as a replacement for ""pra_elmd""."
1587,pra_elmd,pra_elmd
1587,pra-elmd,"pra_elmd IANA assigned this well-formed service name as a replacement for ""pra_elmd""."
1587,pra_elmd,pra_elmd
1596,radio-sm,radio-sm
1596,radio-bc,radio-bc
1650,nkd,nkdn
1650,nkd,nkd
1651,shiva-confsrvr,"shiva_confsrvr IANA assigned this well-formed service name as a replacement for ""shiva_confsrvr""."
1651,shiva_confsrvr,shiva_confsrvr
1651,shiva-confsrvr,"shiva_confsrvr IANA assigned this well-formed service name as a replacement for ""shiva_confsrvr""."
1651,shiva_confsrvr,shiva_confsrvr
1676,netcomm1,netcomm1
1676,netcomm2,netcomm2
1720,h323hostcall,H.323 Call Control
1753,predatar-comms,Predatar Comms Service
1775,vdab,data interchange between visual processing containers
1783,,"Decomissioned Port 04/14/00, ms"
1935,macromedia-fcs,Macromedia Flash Communications Server MX
1935,macromedia-fcs,Macromedia Flash Communications server MX
2000,cisco-sccp,Cisco SCCP
2000,cisco-sccp,Cisco SCCp
2001,wizard,curry
2004,emce,CCWS mm conf
2006,raid-cd,raid
2010,pipe-server,"IANA assigned this well-formed service name as a replacement for ""pipe_server""."
2011,raid-cc,raid
2049,nfs,Network File System
2187,ssmc,Sepehr System Management Control
2187,ssmd,Sepehr System Management Data
2188,radware-rpm,Radware Resource Pool Manager
2189,radware-rpm-s,Secure Radware Resource Pool Manager
2221,ethernet-ip-s,EtherNet/IP over TLS
2221,ethernet-ip-s,EtherNet/IP over DTLS
2222,EtherNet-IP-1,"EtherNet/IP I/O IANA assigned this well-formed service name as a replacement for ""EtherNet/IP-1""."
2222,EtherNet/IP-1,EtherNet/IP I/O
2222,EtherNet-IP-1,"EtherNet/IP I/O IANA assigned this well-formed service name as a replacement for ""EtherNet/IP-1""."
2222,EtherNet/IP-1,EtherNet/IP I/O
2266,mfserver,M-Files Server
2266,mfserver,M-files Server
2340,wrs-registry,"WRS Registry IANA assigned this well-formed service name as a replacement for ""wrs_registry""."
2340,wrs_registry,WRS Registry
2340,wrs-registry,"WRS Registry IANA assigned this well-formed service name as a replacement for ""wrs_registry""."
2340,wrs_registry,WRS Registry
2346,redstorm-join,"Game Connection Port IANA assigned this well-formed service name as a replacement for ""redstorm_join""."
2346,redstorm_join,Game Connection Port
2346,redstorm-join,"Game Connection Port IANA assigned this well-formed service name as a replacement for ""redstorm_join""."
2346,redstorm_join,Game Connection Port
2347,redstorm-find,"Game Announcement and Location IANA assigned this well-formed service name as a replacement for ""redstorm_find""."
2347,redstorm_find,Game Announcement and Location
2347,redstorm-find,"Game Announcement and Location IANA assigned this well-formed service name as a replacement for ""redstorm_find""."
2347,redstorm_find,Game Announcement and Location
2348,redstorm-info,"Information to query for game status IANA assigned this well-formed service name as a replacement for ""redstorm_info""."
2348,redstorm_info,Information to query for game status
2348,redstorm-info,"Information to query for game status IANA assigned this well-formed service name as a replacement for ""redstorm_info""."
2348,redstorm_info,Information to query for game status
2349,redstorm-diag,"Diagnostics Port IANA assigned this well-formed service name as a replacement for ""redstorm_diag""."
2349,redstorm_diag,Diagnostics Port
2349,redstorm-diag,"Diagnostics Port IANA assigned this well-formed service name as a replacement for ""redstorm_diag""."
2349,redstorm_diag,Diagnostics Port
2371,rda,Remote Device Access
2373,remographlm,Remograph License Manager
2374,hydra,Hydra RPC
2375,docker,Docker REST API (plain text)
2376,docker-s,Docker REST API (ssl)
2377,swarm,RPC interface for Docker Swarm
2378,dali,DALI lighting control
2379,etcd-client,etcd client communication
2380,etcd-server,etcd server to server communication
2384,sd-request,SD-REQUEST
2384,sd-capacity,SD-CAPACITY
2395,lan900-remote,"LAN900 Remote IANA assigned this well-formed service name as a replacement for ""lan900_remote""."
2395,lan900_remote,LAN900 Remote
2395,lan900-remote,"LAN900 Remote IANA assigned this well-formed service name as a replacement for ""lan900_remote""."
2395,lan900_remote,LAN900 Remote
2408,railgun-webaccl,CloudFlare Railgun Web Acceleration Protocol
2446,bues-service,"bues_service IANA assigned this well-formed service name as a replacement for ""bues_service""."
2446,bues_service,bues_service
2446,bues-service,"bues_service IANA assigned this well-formed service name as a replacement for ""bues_service""."
2446,bues_service,bues_service
2528,ncr-ccl,"NCR CCL IANA assigned this well-formed service name as a replacement for ""ncr_ccl""."
2528,ncr_ccl,NCR CCL
2528,ncr-ccl,"NCR CCL IANA assigned this well-formed service name as a replacement for ""ncr_ccl""."
2528,ncr_ccl,NCR CCL
2654,corel-vncadmin,"Corel VNC Admin IANA assigned this well-formed service name as a replacement for ""corel_vncadmin""."
2654,corel_vncadmin,Corel VNC Admin
2654,corel-vncadmin,"Corel VNC Admin IANA assigned this well-formed service name as a replacement for ""corel_vncadmin""."
2654,corel_vncadmin,Corel VNC Admin
2802,veritas-tcp1,Veritas TCP1
2802,veritas-udp1,Veritas UDP1
2824,cqg-netlan-1,CQG Net/LAN 1
2824,cqg-netlan-1,CQG Net/Lan 1
2855,msrp,MSRP over TCP
2916,elvin-server,"Elvin Server IANA assigned this well-formed service name as a replacement for ""elvin_server""."
2916,elvin_server,Elvin Server
2916,elvin-server,"Elvin Server IANA assigned this well-formed service name as a replacement for ""elvin_server""."
2916,elvin_server,Elvin Server
2917,elvin-client,"Elvin Client IANA assigned this well-formed service name as a replacement for ""elvin_client""."
2917,elvin_client,Elvin Client
2917,elvin-client,"Elvin Client IANA assigned this well-formed service name as a replacement for ""elvin_client""."
2917,elvin_client,Elvin Client
2944,megaco-h248,Megaco-H.248 text
2945,h248-binary,Megaco/H.248 binary
3001,origo-native,OrigoDB Server Native Interface
3010,gw,Telerate Workstation
3010,ping-pong,Telerate Workstation
3014,broker-service,"Broker Service IANA assigned this well-formed service name as a replacement for ""broker_service""."
3014,broker_service,Broker Service
3014,broker-service,"Broker Service IANA assigned this well-formed service name as a replacement for ""broker_service""."
3014,broker_service,Broker Service
3016,notify-srvr,"Notify Server IANA assigned this well-formed service name as a replacement for ""notify_srvr""."
3016,notify_srvr,Notify Server
3016,notify-srvr,"Notify Server IANA assigned this well-formed service name as a replacement for ""notify_srvr""."
3016,notify_srvr,Notify Server
3017,event-listener,"Event Listener IANA assigned this well-formed service name as a replacement for ""event_listener""."
3017,event_listener,Event Listener
3017,event-listener,"Event Listener IANA assigned this well-formed service name as a replacement for ""event_listener""."
3017,event_listener,Event Listener
3018,srvc-registry,"Service Registry IANA assigned this well-formed service name as a replacement for ""srvc_registry""."
3018,srvc_registry,Service Registry
3018,srvc-registry,"Service Registry IANA assigned this well-formed service name as a replacement for ""srvc_registry""."
3018,srvc_registry,Service Registry
3019,resource-mgr,"Resource Manager IANA assigned this well-formed service name as a replacement for ""resource_mgr""."
3019,resource_mgr,Resource Manager
3019,resource-mgr,"Resource Manager IANA assigned this well-formed service name as a replacement for ""resource_mgr""."
3019,resource_mgr,Resource Manager
3024,nds-sso,"NDS_SSO IANA assigned this well-formed service name as a replacement for ""nds_sso""."
3024,nds_sso,NDS_SSO
3024,nds-sso,"NDS_SSO IANA assigned this well-formed service name as a replacement for ""nds_sso""."
3024,nds_sso,NDS_SSO
3027,LiebDevMgmt-C,"LiebDevMgmt_C IANA assigned this well-formed service name as a replacement for ""LiebDevMgmt_C""."
3027,LiebDevMgmt_C,LiebDevMgmt_C
3027,LiebDevMgmt-C,"LiebDevMgmt_C IANA assigned this well-formed service name as a replacement for ""LiebDevMgmt_C""."
3027,LiebDevMgmt_C,LiebDevMgmt_C
3028,LiebDevMgmt-DM,"LiebDevMgmt_DM IANA assigned this well-formed service name as a replacement for ""LiebDevMgmt_DM""."
3028,LiebDevMgmt_DM,LiebDevMgmt_DM
3028,LiebDevMgmt-DM,"LiebDevMgmt_DM IANA assigned this well-formed service name as a replacement for ""LiebDevMgmt_DM""."
3028,LiebDevMgmt_DM,LiebDevMgmt_DM
3029,LiebDevMgmt-A,"LiebDevMgmt_A IANA assigned this well-formed service name as a replacement for ""LiebDevMgmt_A""."
3029,LiebDevMgmt_A,LiebDevMgmt_A
3029,LiebDevMgmt-A,"LiebDevMgmt_A IANA assigned this well-formed service name as a replacement for ""LiebDevMgmt_A""."
3029,LiebDevMgmt_A,LiebDevMgmt_A
3050,gds-db,"gds_db IANA assigned this well-formed service name as a replacement for ""gds_db""."
3050,gds_db,gds_db
3050,gds-db,"gds_db IANA assigned this well-formed service name as a replacement for ""gds_db""."
3050,gds_db,gds_db
3071,xplat-replicate,Crossplatform replication protocol
3080,stm-pproc,"stm_pproc IANA assigned this well-formed service name as a replacement for ""stm_pproc""."
3080,stm_pproc,stm_pproc
3080,stm-pproc,"stm_pproc IANA assigned this well-formed service name as a replacement for ""stm_pproc""."
3080,stm_pproc,stm_pproc
3097,itu-bicc-stc,ITU-T Q.1902.1/Q.2150.3
3104,autocuelog,Autocue Logger Protocol
3104,autocuetime,Autocue Time Service
3121,pcmk-remote,The pacemaker remote (pcmk-remote) service extends high availability functionality outside of the Linux cluster into remote nodes.
3235,mdap-port,MDAP port
3235,mdap-port,MDAP Port
3300,ceph,Ceph monitor
3322-3325,active-net,Active Networks
3367-3371,satvid-datalnk,Satellite Video Data Link
3384,hp-clic,Cluster Management Services
3384,hp-clic,Hardware Management
3386,gprs-data,GPRS Data
3386,gprs-sig,GPRS SIG
3396,printer-agent,"Printer Agent IANA assigned this well-formed service name as a replacement for ""printer_agent""."
3396,printer_agent,Printer Agent
3396,printer-agent,"Printer Agent IANA assigned this well-formed service name as a replacement for ""printer_agent""."
3396,printer_agent,Printer Agent
3419,softaudit,Isogon SoftAudit
3419,softaudit,ISogon SoftAudit
3478,turn,TURN over TCP
3478,turn,TURN over UDP
3478,stun-behavior,STUN Behavior Discovery over TCP
3478,stun-behavior,STUN Behavior Discovery over UDP
3487,ltctcp,LISA TCP Transfer Channel
3487,ltcudp,LISA UDP Transfer Channel
3519,nvmsgd,Netvion Messenger Port
3519,galileo,Netvion Galileo Port
3566,quest-data-hub,Quest Data Hub
3574,dmaf-server,DMAF Server
3574,dmaf-caster,DMAF Caster
3666,eserver-pap,IBM eServer PAP
3666,eserver-pap,IBM EServer PAP
3693,easl,Emergency Automatic Structure Lockdown System
3737,xpanel,XPanel Daemon
3760,adtempusclient,adTempus Client
3760,adtempusclient,adTEmpus Client
3766,sitewatch-s,SSL e-watch sitewatch server
3841,shiprush-db-svr,ShipRush Database Server
3863,asap-tcp,asap tcp port
3863,asap-udp,asap udp port
3863,asap-sctp,asap sctp
3864,asap-tcp-tls,asap/tls tcp port
3864,asap-sctp-tls,asap-sctp/tls
3876,dl-agent,"DirectoryLockdown Agent IANA assigned this well-formed service name as a replacement for ""dl_agent""."
3876,dl_agent,DirectoryLockdown Agent
3876,dl-agent,"DirectoryLockdown Agent IANA assigned this well-formed service name as a replacement for ""dl_agent""."
3876,dl_agent,DirectoryLockdown Agent
3900,udt-os,"Unidata UDT OS IANA assigned this well-formed service name as a replacement for ""udt_os""."
3900,udt_os,Unidata UDT OS
3900,udt-os,"Unidata UDT OS IANA assigned this well-formed service name as a replacement for ""udt_os""."
3900,udt_os,Unidata UDT OS
3924,mpl-gprs-port,MPL_GPRS_PORT
3924,mpl-gprs-port,MPL_GPRS_Port
3938,dbcontrol-agent,"Oracle dbControl Agent po IANA assigned this well-formed service name as a replacement for ""dbcontrol_agent""."
3938,dbcontrol_agent,Oracle dbControl Agent po
3938,dbcontrol-agent,"Oracle dbControl Agent po IANA assigned this well-formed service name as a replacement for ""dbcontrol_agent""."
3938,dbcontrol_agent,Oracle dbControl Agent po
3986,mapper-ws-ethd,"MAPPER workstation server IANA assigned this well-formed service name as a replacement for ""mapper-ws_ethd""."
3986,mapper-ws_ethd,MAPPER workstation server
3986,mapper-ws-ethd,"MAPPER workstation server IANA assigned this well-formed service name as a replacement for ""mapper-ws_ethd""."
3986,mapper-ws_ethd,MAPPER workstation server
4060,dsmeter-iatc,"DSMETER Inter-Agent Transfer Channel IANA assigned this well-formed service name as a replacement for ""dsmeter_iatc""."
4060,dsmeter_iatc,DSMETER Inter-Agent Transfer Channel
4060,dsmeter-iatc,"DSMETER Inter-Agent Transfer Channel IANA assigned this well-formed service name as a replacement for ""dsmeter_iatc""."
4060,dsmeter_iatc,DSMETER Inter-Agent Transfer Channel
4065,avanti-cdp,"Avanti Common Data IANA assigned this well-formed service name as a replacement for ""avanti_cdp""."
4065,avanti_cdp,Avanti Common Data
4065,avanti-cdp,"Avanti Common Data IANA assigned this well-formed service name as a replacement for ""avanti_cdp""."
4065,avanti_cdp,Avanti Common Data
4077,ascomalarm,Ascom IP Alarming
4078,cssp,Coordinated Security Service Protocol
4084,fortisphere-vm,Fortisphere VM Service
4085,ezmessagesrv,EZNews Newsroom Message Service
4086,ftsync,Firewall/NAT state table synchronization
4087,applusservice,APplus Service
4088,npsp,Noah Printing Service Protocol
4120,minirem,MiniRem Remote Telemetry and Control
4132,nuts-dem,"NUTS Daemon IANA assigned this well-formed service name as a replacement for ""nuts_dem""."
4132,nuts_dem,NUTS Daemon
4132,nuts-dem,"NUTS Daemon IANA assigned this well-formed service name as a replacement for ""nuts_dem""."
4132,nuts_dem,NUTS Daemon
4133,nuts-bootp,"NUTS Bootp Server IANA assigned this well-formed service name as a replacement for ""nuts_bootp""."
4133,nuts_bootp,NUTS Bootp Server
4133,nuts-bootp,"NUTS Bootp Server IANA assigned this well-formed service name as a replacement for ""nuts_bootp""."
4133,nuts_bootp,NUTS Bootp Server
4140,cedros-fds,"Cedros Fraud Detection System IANA assigned this well-formed service name as a replacement for ""cedros_fds""."
4140,cedros_fds,Cedros Fraud Detection System
4140,cedros-fds,"Cedros Fraud Detection System IANA assigned this well-formed service name as a replacement for ""cedros_fds""."
4140,cedros_fds,Cedros Fraud Detection System
4151,menandmice-noh,"Men & Mice Remote Control IANA assigned this well-formed service name as a replacement for ""menandmice_noh""."
4151,menandmice_noh,Men & Mice Remote Control
4151,menandmice-noh,"Men & Mice Remote Control IANA assigned this well-formed service name as a replacement for ""menandmice_noh""."
4151,menandmice_noh,Men & Mice Remote Control
4152,idig-mux,"iDigTech Multiplex IANA assigned this well-formed service name as a replacement for ""idig_mux""."
4152,idig_mux,iDigTech Multiplex
