port,name,description
4152,idig-mux,"iDigTech Multiplex IANA assigned this well-formed service name as a replacement for ""idig_mux""."
4152,idig_mux,iDigTech Multiplex
4169,iadt,Automation Drive Interface Transport
4169,iadt-disc,Internet ADT Discovery Protocol
4170,d-cinema-csp,SMPTE Content Synchonization Protocol
4171,ml-svnet,Maxlogic Supervisor Communication
4173,mma-discovery,MMA Device Discovery
4174,smcluster,StorMagic Cluster Services
4174,sm-disc,StorMagic Discovery
4175,bccp,Brocade Cluster Communication Protocol
4176,tl-ipcproxy,Translattice Cluster IPC Proxy
4184,universe-suite,"UNIVERSE SUITE MESSAGE SERVICE IANA assigned this well-formed service name as a replacement for ""universe_suite""."
4184,universe_suite,UNIVERSE SUITE MESSAGE SERVICE
4184,universe-suite,"UNIVERSE SUITE MESSAGE SERVICE IANA assigned this well-formed service name as a replacement for ""universe_suite""."
4184,universe_suite,UNIVERSE SUITE MESSAGE SERVICE
4186,boxbackupstore,Box Backup Store Service
4187,csc-proxy,"Cascade Proxy IANA assigned this well-formed service name as a replacement for ""csc_proxy""."
4187,csc_proxy,Cascade Proxy
4189,pcep,Path Computation Element Communication Protocol
4190,sieve,ManageSieve Protocol
4191,dsmipv6,Dual Stack MIPv6 NAT Traversal
4192,azeti,Azeti Agent Service
4192,azeti-bd,azeti blinddate
4193,pvxplusio,PxPlus remote file srvr
4194,spdm,Security Protocol and Data Model
4200-4299,vrml-multi-use,VRML Multi User Systems
4311,p6ssmc,P6R Secure Server Management Console
4312,pscl-mgt,Parascale Membership Manager
4313,perrla,PERRLA User Services
4314,choiceview-agt,ChoiceView Agent
4316,choiceview-clt,ChoiceView Client
4317,opentelemetry,OpenTelemetry Protocol
4325,geognosisadmin,Cadcorp GeognoSIS Administrator
4325,geognosisman,Cadcorp GeognoSIS Administrator
4329,publiqare-sync,PubliQare Distributed Environment Synchronisation Engine
4330,dey-sapi,DEY Storage Administration REST API
4331,ktickets-rest,ktickets REST API for event management and ticketing systems (embedded POS devices)
4332,getty-focus,Getty Images FOCUS service
4334,netconf-ch-ssh,NETCONF Call Home (SSH)
4335,netconf-ch-tls,NETCONF Call Home (TLS)
4336,restconf-ch-tls,RESTCONF Call Home (TLS)
4341,lisp-data,LISP Data Packets
4342,lisp-control,LISP Control Packets
4360,matrix-vnet,"Matrix VNet Communication Protocol IANA assigned this well-formed service name as a replacement for ""matrix_vnet""."
4360,matrix_vnet,Matrix VNet Communication Protocol
4361,nacnl,NavCom Discovery and Control Port
4362,afore-vdp-disc,AFORE vNode Discovery protocol
4366,shadowstream,ShadowStream System
4370,elpro-tunnel,"ELPRO V2 Protocol Tunnel IANA assigned this well-formed service name as a replacement for ""elpro_tunnel""."
4370,elpro_tunnel,ELPRO V2 Protocol Tunnel
4370,elpro-tunnel,"ELPRO V2 Protocol Tunnel IANA assigned this well-formed service name as a replacement for ""elpro_tunnel""."
4370,elpro_tunnel,ELPRO V2 Protocol Tunnel
4371,l2c-control,LAN2CAN Control
4371,l2c-disc,LAN2CAN Discovery
4374,psi-ptt,PSI Push-to-Talk Protocol
4391,apwi-imserver,American Printware IMServer Protocol
4392,apwi-rxserver,American Printware RXServer Protocol
4393,apwi-rxspooler,American Printware RXSpooler Protocol
4394,apwi-disc,American Printware Discovery
4396,fly,Fly Object Space
4407,nacagent,Network Access Control Agent
4408,slscc,SLS Technology Control Centre
4409,netcabinet-com,Net-Cabinet comunication
4410,itwo-server,RIB iTWO Application Server
4411,found,Found Messaging Protocol
4412,smallchat,SmallChat
4413,avi-nms,AVI Systems NMS
4413,avi-nms-disc,AVI Systems NMS
4414,updog,Updog Monitoring and Status Framework
4415,brcd-vr-req,Brocade Virtual Router Request
4416,pjj-player,PJJ Media Player
4416,pjj-player-disc,PJJ Media Player discovery
4417,workflowdir,Workflow Director Communication
4418,axysbridge,AXYS communication protocol
4419,cbp,Colnod Binary Protocol
4421,scaleft,Multi-Platform Remote Management for Cloud Infrastructure
4422,tsepisp,TSEP Installation Service Protocol
4423,thingkit,thingkit secure mesh
4427,drizzle,Drizzle database server
4428,omviserver,OMV-Investigation Server-Client
4429,omviagent,OMV Investigation Agent-Server
4431,wspipe,adWISE Pipe
4433,vop,Versile Object Protocol
4441,netblox,Netblox Protocol
4460,ntske,Network Time Security Key Establishment
4485,assyst-dr,Assyst Data Repository Service
4487,prex-tcp,Protocol for Remote Execution over TCP
4502,a25-fap-fgw,A25 (FAP-FGW)
4534,armagetronad,Armagetron Advanced Game Server
4553,icshostsvc,ICS host services
4556,dtn-bundle,DTN Bundle TCP CL Protocol
4556,dtn-bundle,DTN Bundle UDP CL Protocol
4556,dtn-bundle,DTN Bundle DCCP CL Protocol
4557,mtcevrunqss,Marathon everRun Quorum Service Server
4558,mtcevrunqman,Marathon everRun Quorum Service Manager
4563,amahi-anywhere,Amahi Anywhere
4570,deploymentmap,Service to distribute and update within a site deployment information for Oracle Communications Suite
4573,cardifftec-back,A port for communication between a server and client for a custom backup system
4590,rid,RID over HTTP/TLS
4592,hrpd-ith-at-an,HRPD-ITH (AT-AN)
4602,mtsserver,EAX MTS Server
4603,menandmice-upg,Men & Mice Upgrade Agent
4604,irp,Identity Registration Protocol
4605,sixchat,Direct End to End Secure Chat Protocol
4606,sixid,Secure ID to IP registration and lookup
4621,ventoso,Bidirectional single port remote radio VOIP and Control stream
4703,npqes-test,Network Performance Quality Evaluation System Test Service
4704,assuria-ins,Assuria Insider
4726,a26-fap-fgw,A26 (FAP-FGW)
4727,fcis,F-Link Client Information Service
4727,fcis-disc,F-Link Client Information Service Discovery
4729,gsmtap,GSM Interface Tap
4731,remcap,Remote Capture Protocol
4732,ohmtrigger,OHM server trigger
4733,resorcs,RES Orchestration Catalog Services
4740,ipfixs,ipfix protocol over TLS
4742,sicct,SICCT
4742,sicct-sdp,SICCT Service Discovery Protocol
4746,intelliadm-disc,IntelliAdmin Discovery
4747,buschtrommel,peer-to-peer file exchange protocol
4753,simon,Simple Invocation of Methods Over Network (SIMON)
4753,simon-disc,Simple Invocation of Methods Over Network (SIMON) Discovery
4754,gre-in-udp,GRE-in-UDP Encapsulation
4755,gre-udp-dtls,GRE-in-UDP Encapsulation with DTLS
4756,RDCenter,Reticle Decision Center
4774,converge,Converge RPC
4785,cncp,Cisco Nexus Control Protocol
4786,smart-install,Smart Install Service
4787,sia-ctrl-plane,Service Insertion Architecture (SIA) Control-Plane
4788,xmcp,eXtensible Messaging Client Protocol
4789,vxlan,Virtual eXtensible Local Area Network (VXLAN)
4790,vxlan-gpe,Generic Protocol Extension for Virtual eXtensible Local Area Network (VXLAN)
4791,roce,IP Routable RocE
4803,notateit,Notateit Messaging
4803,notateit-disc,Notateit Messaging Discovery
4804,aja-ntv4-disc,AJA ntv4 Video System Discovery
4840,opcua-tcp,OPC UA Connection Protocol
4840,opcua-udp,OPC UA Multicast Datagram Protocol
4846,contamac-icm,"Contamac ICM Service IANA assigned this well-formed service name as a replacement for ""contamac_icm""."
4846,contamac_icm,Contamac ICM Service
4846,contamac-icm,"Contamac ICM Service IANA assigned this well-formed service name as a replacement for ""contamac_icm""."
4846,contamac_icm,Contamac ICM Service
4878,inst-discovery,Agilent Instrument Discovery
4879,wsdl-event,WSDL Event Receiver
4880,hislip,IVI High-Speed LAN Instrument Protocol
4881,socp-t,SOCP Time Synchronization Protocol
4882,socp-c,SOCP Control Protocol
4883,wmlserver,Meier-Phelps License Server
4888,xcap-portal,xcap code analysis portal public user access
4889,xcap-control,xcap code analysis portal cluster control and administration
4901,flr-agent,"FileLocator Remote Search Agent IANA assigned this well-formed service name as a replacement for ""flr_agent""."
4901,flr_agent,FileLocator Remote Search Agent
4902,magiccontrol,magicCONROL RF and Data Interface
4912,lutap,Technicolor LUT Access Protocol
4913,lutcp,LUTher Control Protocol
4915,frcs,Fibics Remote Control Service
4936,an-signaling,Signal protocol port for autonomic networking
4937,atsc-mh-ssc,ATSC-M/H Service Signaling Channel
4953,dbsyncarbiter,Synchronization Arbiter
4971,burp,BackUp and Restore Program
4980,ctxs-vpp,Citrix Virtual Path
4984,webyast,WebYast
4985,gerhcs,GER HC Standard
5003,fmpro-internal,"FileMaker, Inc. - Proprietary transport"
5003,fmpro-internal,"FileMaker, Inc. - Proprietary name binding"
5014,onpsocket,Overlay Network Protocol
5015,fmwp,"FileMaker, Inc. - Web publishing"
5028,qvr,Quiqum Virtual Relais
5031,dmp,Direct Message Protocol
5032,signacert-agent,SignaCert Enterprise Trust Server Agent
5033,jtnetd-server,Janstor Secure Data
5034,jtnetd-status,Janstor Status
5045,osp,Open Settlement Protocol
5046,vpm-udp,Vishay PM UDP Service
5047,iscape,iSCAPE Data Broadcasting
5048,texai,Texai Message Service
5053,rlm,RLM License Server
5053,rlm-disc,RLM Discovery Server
5054,rlm-admin,RLM administrative interface
5058,locus-disc,Locus Discovery
5063,csrpc,centrify secure RPC
5068,bitforestsrv,Bitforest Data Service
5075,pvaccess,Experimental Physics and Industrial Control System
5078,pixelpusher,PixelPusher pixel data
5079,cp-spxrpts,Cambridge Pixel SPx Reports
5086,aprigo-cs,Aprigo Collection Service
5087,biotic,BIOTIC - Binary Internet of Things Interoperable Communication
5090,car,Candidate AR
5091,cxtp,Context Transfer Protocol
5092,magpie,Magpie Binary
5101,talarian-tcp,Talarian_TCP
5101,talarian-udp,Talarian_UDP
5103,actifio-c2c,Actifio C2C
5104,tinymessage,TinyMessage
5105,hughes-ap,Hughes Association Protocol
5106,actifioudsagent,Actifio UDS Agent
5107,actifioreplic,Disk to Disk replication between Actifio Clusters
5114,ev-services,Enterprise Vault Services
5115,autobuild,Symantec Autobuild Service
5116,emb-proj-cmd,EPSON Projecter Image Transfer
5117,gradecam,GradeCam Image Processing
5134,ppactivation,PP ActivationServer
5135,erp-scale,ERP-Scale
5136,minotaur-sa,Minotaur SA
5145,rmonitor-secure,"RMONITOR SECURE IANA assigned this well-formed service name as a replacement for ""rmonitor_secure""."
5145,rmonitor_secure,RMONITOR SECURE
5145,rmonitor-secure,"RMONITOR SECURE IANA assigned this well-formed service name as a replacement for ""rmonitor_secure""."
5145,rmonitor_secure,RMONITOR SECURE
5146,social-alarm,Social Alarm Service
5151,esri-sde,"ESRI SDE Instance IANA assigned this well-formed service name as a replacement for ""esri_sde""."
5151,esri_sde,ESRI SDE Instance
5151,esri-sde,"ESRI SDE Remote Start IANA assigned this well-formed service name as a replacement for ""esri_sde""."
5151,esri_sde,ESRI SDE Remote Start
5156,rugameonline,Russian Online Game
5157,mediat,Mediat Remote Object Exchange
5161,snmpssh,SNMP over SSH Transport Model
5162,snmpssh-trap,SNMP Notification over SSH Transport Model
5163,sbackup,Shadow Backup
5164,vpa,Virtual Protocol Adapter
5164,vpa-disc,Virtual Protocol Adapter Discovery
5165,ife-icorp,"ife_1corp IANA assigned this well-formed service name as a replacement for ""ife_icorp""."
5165,ife_icorp,ife_1corp
5165,ife-icorp,"ife_1corp IANA assigned this well-formed service name as a replacement for ""ife_icorp""."
5165,ife_icorp,ife_1corp
5172,pcoip-mgmt,PC over IP Endpoint Management
5194,cpscomm,CipherPoint Config Service
5195,ampl-lic,The protocol is used by a license server and client programs to control use of program licenses that float to networked machines
5196,ampl-tableproxy,"The protocol is used by two programs that exchange ""table"" data used in the AMPL modeling language"
5197,tunstall-lwp,Tunstall Lone worker device interface
5209,nomad,Nomad Device Video Transfer
5221,3exmp,3eTI Extensible Management Protocol for OAMP
5222,xmpp-client,XMPP Client Connection
5228,hpvroom,HP Virtual Room Service
5229,jaxflow,Netflow/IPFIX/sFlow Collector and Forwarder Management
5230,jaxflow-data,JaxMP RealFlow application and protocol data
5231,crusecontrol,Remote Control of Scan Software for Cruse Scanners
5232,csedaemon,Cruse Scanning System Service
5233,enfs,Etinnae Network File Service
5242,attune,ATTUne API
5243,xycstatus,xyClient Status API and rendevous point
5245,downtools,DownTools Control Protocol
5245,downtools-disc,DownTools Discovery Protocol
5246,capwap-control,CAPWAP Control Protocol
5247,capwap-data,CAPWAP Data Protocol
5253,kpdp,Kohler Power Device Protocol
5254,logcabin,LogCabin storage service
5269,xmpp-server,XMPP Server Connection
5271,cuelink,StageSoft CueLink messaging
5271,cuelink-disc,StageSoft CueLink discovery
5280,xmpp-bosh,Bidirectional-streams Over Synchronous HTTP (BOSH)
5281,undo-lm,Undo License Manager
5316,hpbladems,HPBladeSystem Monitor Service
5317,hpdevms,HP Device Monitor Service
5318,pkix-cmc,PKIX Certificate Management using CMS (CMC)
5320,bsfserver-zn,Webservices-based Zn interface of BSF
5321,bsfsvr-zn-ssl,Webservices-based Zn interface of BSF over SSL
5349,stuns,Session Traversal Utilities for NAT (STUN) port
5349,stuns,STUN over DTLS
5349,turns,TURN over TLS
5349,turns,TURN over DTLS
5349,stun-behaviors,STUN Behavior Discovery over TLS
5349,stun-behaviors,Reserved for a future enhancement of STUN-BEHAVIOR
5350,pcp-multicast,Port Control Protocol Multicast
5351,pcp,Port Control Protocol
5364,kdnet,Microsoft Kernel Debugger
5436,pmip6-cntl,pmip6-cntl
5437,pmip6-data,pmip6-data
5450,tiepie,TiePie engineering data acquisition
5450,tiepie-disc,TiePie engineering data acquisition (discovery)
5470,apsolab-col,The Apsolab company's data collection protocol (native api)
5471,apsolab-cols,The Apsolab company's secure data collection protocol (native api)
5472,apsolab-tag,The Apsolab company's dynamic tag protocol
5473,apsolab-tags,The Apsolab company's secure dynamic tag protocol
5474,apsolab-rpc,The Apsolab company's status query protocol
5475,apsolab-data,The Apsolab company's data retrieval protocol
5507,psl-management,PowerSysLab Electrical Management
5550,cbus,Model Railway control using the CBUS message protocol
5557,farenet,Sandlab FARENET
5565,dp-bura,Data Protector BURA
5566,westec-connect,Westec Connect
5569,rdmnet-ctrl,"PLASA E1.33, Remote Device Management (RDM) controller status notifications"
5569,rdmnet-device,"PLASA E1.33, Remote Device Management (RDM) messages"
5574,lsi-bobcat,SAS IO Forwarding
5575,ora-oap,Oracle Access Protocol
5579,fdtracks,FleetDisplay Tracking Service
5586,att-mt-sms,Planning to send mobile terminated SMS to the specific port so that the SMS is not visible to the client
5618,efr,Fiscal Registering Protocol
5635,sfmsso,SFM Authentication Subsystem
5636,sfm-db-server,SFMdb - SFM DB server
5637,cssc,Symantec CSSC
5638,flcrs,Symantec Fingerprint Lookup and Container Reference Service
5639,ics,Symantec Integrity Checking Service
5646,vfmobile,Ventureforth Mobile
5666,nrpe,Nagios Remote Plugin Executor
5670,filemq,ZeroMQ file publish-subscribe protocol
5670,zre-disc,Local area discovery and messaging over ZeroMQ
5682,brightcore,BrightCore control & data transfer exchange
5683,coap,Constrained Application Protocol (CoAP)
5683,coap,Constrained Application Protocol
5684,coaps,Constrained Application Protocol (CoAP)
5684,coaps,DTLS-secured CoAP
5687,gog-multiplayer,GOG multiplayer game protocol
5693,rbsystem,Robert Bosch Data Transfer
5696,kmip,Key Management Interoperability Protocol
5700,supportassist,Dell SupportAssist data center management
5705,storageos,StorageOS REST API
5725,ms-ilm,Microsoft Identity Lifecycle Manager
5726,ms-ilm-sts,Microsoft Lifecycle Manager Secure Token Service
5727,asgenf,ASG Event Notification Framework
5728,io-dist-data,Dist. I/O Comm. Service Data and Control
5728,io-dist-group,Dist. I/O Comm. Service Group Membership
5780,vts-rpc,Visual Tag System RPC
5784,ibar,Cisco Interbox Application Redundancy
5786,cisco-redu,redundancy notification
5787,waascluster,Cisco WAAS Cluster Protocol
5794,spdp,Simple Peered Discovery Protocol
5798,enlabel-dpl,Proprietary Website deployment service
5820,autopassdaemon,AutoPass licensing
5841,shiprush-d-ch,Z-firm ShipRush interface for web access and bidirectional data
5842,reversion,Reversion Backup/Restore
5868,diameters,Diameter over TLS/TCP
5868,diameters,Diameter over DTLS/SCTP
5883,jute,Javascript Unit Test Environment
5910,cm,Context Management
5911,cpdlc,Controller Pilot Data Link Communication
5912,fis,Flight Information Services
5913,ads-c,Automatic Dependent Surveillance
5993,cim-rs,DMTF WBEM CIM REST
5994,rms-agent,RMS Agent Listening Service
6068,gsmp-ancp,GSMP/ANCP
6075,dpm-acm,Microsoft DPM Access Control Manager
6076,msft-dpm-cert,Microsoft DPM WCF Certificates
6077,iconstructsrv,iConstruct Server
6080,gue,Generic UDP Encapsulation
6081,geneve,Generic Network Virtualization Encapsulation (Geneve)
6082,p25cai,APCO Project 25 Common Air Interface - UDP encapsulation
6083,miami-bcast,telecomsoftware miami broadcast
6084,reload-config,Peer to Peer Infrastructure Configuration
6088,doglms,SuperDog License Manager
6088,doglms-notify,SuperDog License Manager Notifier
6099,raxa-mgmt,RAXA Management
6113,dayliteserver,Daylite Server
6114,wrspice,WRspice IPC Service
6115,xic,Xic IPC Service
6116,xtlserv,XicTools License Manager Service
6117,daylitetouch,Daylite Touch Sync
6118,tipc,Transparent Inter Process Communication
6121,spdy,SPDY for a faster web
6130,damewaremobgtwy,The DameWare Mobile Gateway Service
6159,efb-aci,EFB Application Control Interface
6160,ecmp,Emerson Extensible Control and Management Protocol
6160,ecmp-data,Emerson Extensible Control and Management Protocol Data
6201,thermo-calc,Management of service nodes in a processing grid for thermodynamic calculations
6241,jeol-nsdtp-1,JEOL Network Services Data Transport Protocol 1
6241,jeol-nsddp-1,JEOL Network Services Dynamic Discovery Protocol 1
6242,jeol-nsdtp-2,JEOL Network Services Data Transport Protocol 2
6242,jeol-nsddp-2,JEOL Network Services Dynamic Discovery Protocol 2
6243,jeol-nsdtp-3,JEOL Network Services Data Transport Protocol 3
6243,jeol-nsddp-3,JEOL Network Services Dynamic Discovery Protocol 3
6244,jeol-nsdtp-4,JEOL Network Services Data Transport Protocol 4
6244,jeol-nsddp-4,JEOL Network Services Dynamic Discovery Protocol 4
6267,gld,GridLAB-D User Interface
6301,bmc-ctd-ldap,"BMC CONTROL-D LDAP SERVER IANA assigned this well-formed service name as a replacement for ""bmc_ctd_ldap""."
6301,bmc_ctd_ldap,BMC CONTROL-D LDAP SERVER
6301,bmc-ctd-ldap,"BMC CONTROL-D LDAP SERVER IANA assigned this well-formed service name as a replacement for ""bmc_ctd_ldap""."
6301,bmc_ctd_ldap,BMC CONTROL-D LDAP SERVER
6315,scup,Sensor Control Unit Protocol
6315,scup-disc,Sensor Control Unit Protocol Discovery Protocol
6317,nav-data-cmd,Navtech Radar Sensor Data Command
6317,nav-data,Navtech Radar Sensor Data
6324,hrd-ncs,HR Device Network Configuration Service
6324,hrd-ns-disc,HR Device Network service
6325,dt-mgmtsvc,Double-Take Management Service
6326,dt-vra,Double-Take Virtual Recovery Assistant
6344,streletz,Argus-Spectr security and fire-prevention systems service
6363,ndn,Named Data Networking
6379,redis,An advanced key-value cache and store
6400,boe-cms,Business Objects CMS contact port
6401,boe-was,boe-was
6402,boe-eventsrv,boe-eventsrv
6403,boe-cachesvr,boe-cachesvr
6404,boe-filesvr,Business Objects Enterprise internal server
6405,boe-pagesvr,Business Objects Enterprise internal server
6406,boe-processsvr,Business Objects Enterprise internal server
6407,boe-resssvr1,Business Objects Enterprise internal server
6408,boe-resssvr2,Business Objects Enterprise internal server
6409,boe-resssvr3,Business Objects Enterprise internal server
6410,boe-resssvr4,Business Objects Enterprise internal server
6418,syserverremote,SYserver remote commands
6419,svdrp,Simple VDR Protocol
6419,svdrp-disc,Simple VDR Protocol Discovery
6432,pgbouncer,PgBouncer
6440,heliosd,heliosd daemon
6442,tarp,Transitory Application Request Protocol
6444,sge-qmaster,"Grid Engine Qmaster Service IANA assigned this well-formed service name as a replacement for ""sge_qmaster""."
6444,sge_qmaster,Grid Engine Qmaster Service
6444,sge-qmaster,"Grid Engine Qmaster Service IANA assigned this well-formed service name as a replacement for ""sge_qmaster""."
6444,sge_qmaster,Grid Engine Qmaster Service
6445,sge-execd,"Grid Engine Execution Service IANA assigned this well-formed service name as a replacement for ""sge_execd""."
6445,sge_execd,Grid Engine Execution Service
6445,sge-execd,"Grid Engine Execution Service IANA assigned this well-formed service name as a replacement for ""sge_execd""."
6445,sge_execd,Grid Engine Execution Service
6501,boks-servc,"BoKS Servc IANA assigned this well-formed service name as a replacement for ""boks_servc""."
6501,boks_servc,BoKS Servc
6501,boks-servc,"BoKS Servc IANA assigned this well-formed service name as a replacement for ""boks_servc""."
6501,boks_servc,BoKS Servc
6502,boks-servm,"BoKS Servm IANA assigned this well-formed service name as a replacement for ""boks_servm""."
6502,boks_servm,BoKS Servm
6502,boks-servm,"BoKS Servm IANA assigned this well-formed service name as a replacement for ""boks_servm""."
6502,boks_servm,BoKS Servm
6503,boks-clntd,"BoKS Clntd IANA assigned this well-formed service name as a replacement for ""boks_clntd""."
6503,boks_clntd,BoKS Clntd
6503,boks-clntd,"BoKS Clntd IANA assigned this well-formed service name as a replacement for ""boks_clntd""."
6503,boks_clntd,BoKS Clntd
6505,badm-priv,"BoKS Admin Private Port IANA assigned this well-formed service name as a replacement for ""badm_priv""."
6505,badm_priv,BoKS Admin Private Port
6505,badm-priv,"BoKS Admin Private Port IANA assigned this well-formed service name as a replacement for ""badm_priv""."
6505,badm_priv,BoKS Admin Private Port
6506,badm-pub,"BoKS Admin Public Port IANA assigned this well-formed service name as a replacement for ""badm_pub""."
6506,badm_pub,BoKS Admin Public Port
6506,badm-pub,"BoKS Admin Public Port IANA assigned this well-formed service name as a replacement for ""badm_pub""."
6506,badm_pub,BoKS Admin Public Port
6507,bdir-priv,"BoKS Dir Server, Private Port IANA assigned this well-formed service name as a replacement for ""bdir_priv""."
6507,bdir_priv,"BoKS Dir Server, Private Port"
6507,bdir-priv,"BoKS Dir Server, Private Port IANA assigned this well-formed service name as a replacement for ""bdir_priv""."
6507,bdir_priv,"BoKS Dir Server, Private Port"
6508,bdir-pub,"BoKS Dir Server, Public Port IANA assigned this well-formed service name as a replacement for ""bdir_pub""."
6508,bdir_pub,"BoKS Dir Server, Public Port"
6508,bdir-pub,"BoKS Dir Server, Public Port IANA assigned this well-formed service name as a replacement for ""bdir_pub""."
6508,bdir_pub,"BoKS Dir Server, Public Port"
6511,dccp-udp,Datagram Congestion Control Protocol Encapsulation for NAT Traversal
6513,netconf-tls,NETCONF over TLS
6514,syslog-tls,Syslog over TLS
6556,checkmk-agent,Checkmk Monitoring Agent
6568,canit-store,"CanIt Storage Manager IANA assigned this well-formed service name as a replacement for ""canit_store""."
6568,canit_store,CanIt Storage Manager
6568,rp-reputation,Roaring Penguin IP Address Reputation Collection
6600,mshvlm,Microsoft Hyper-V Live Migration
6601,mstmg-sstp,Microsoft Threat Management Gateway SSTP
6602,wsscomfrmwk,Windows WSS Communication Framework
6624,datascaler-db,DataScaler database
6625,datascaler-ctl,DataScaler control
6632,mxodbc-connect,eGenix mxODBC Connect
6633,cisco-vpath-tun,Cisco vPath Services Overlay
6634,mpls-pm,MPLS Performance Measurement out-of-band response
6635,mpls-udp,Encapsulate MPLS packets in UDP tunnels.
6636,mpls-udp-dtls,Encapsulate MPLS packets in UDP tunnels with DTLS.
6640,ovsdb,Open vSwitch Database protocol
6655,pcs-sf-ui-man,PC SOFT - Software factory UI/manager
6656,emgmsg,Emergency Message Control Service
6657,palcom-disc,PalCom Discovery
6665-6669,ircu,IRCU
6672,vision-server,"vision_server IANA assigned this well-formed service name as a replacement for ""vision_server""."
6672,vision_server,vision_server
6672,vision-server,"vision_server IANA assigned this well-formed service name as a replacement for ""vision_server""."
6672,vision_server,vision_server
6673,vision-elmd,"vision_elmd IANA assigned this well-formed service name as a replacement for ""vision_elmd""."
6673,vision_elmd,vision_elmd
6673,vision-elmd,"vision_elmd IANA assigned this well-formed service name as a replacement for ""vision_elmd""."
6673,vision_elmd,vision_elmd
6678,vfbp,Viscount Freedom Bridge Protocol
6678,vfbp-disc,Viscount Freedom Bridge Discovery
6687,clever-ctrace,CleverView for cTrace Message Service
6688,clever-tcpip,CleverView for TCP/IP Message Service
6690,cleverdetect,CLEVERDetect Message Service
6696,babel,Babel Routing Protocol
6697,ircs-u,Internet Relay Chat via TLS/SSL
6699,babel-dtls,Babel Routing Protocol over DTLS
6704,frc-hp,ForCES HP (High Priority) channel
6705,frc-mp,ForCES MP (Medium Priority) channel
6706,frc-lp,ForCES LP (Low priority) channel
6716,princity-agent,Princity Agent
6777,ntz-tracker,netTsunami Tracker
6778,ntz-p2p-storage,netTsunami p2p storage system
6784,bfd-lag,Bidirectional Forwarding Detection (BFD) on Link Aggregation Group (LAG) Interfaces
6789,radg,GSS-API for the Oracle Remote Administration Daemon
6817,pentbox-sim,PenTBox Secure IM Protocol
6868,acctopus-cc,Acctopus Command Channel
6868,acctopus-st,Acctopus Status
6900,rtimeviewer,R*TIME Viewer Data Interface
6901,jetstream,Novell Jetstream messaging protocol
6970,conductor,Conductor test coordination protocol
6970,conductor-mpx,conductor for multiplex
6980,qolyester,QoS-extended OLSR protocol
7018,fisa-svc,FISA Service
7019,doceri-ctl,doceri drawing service control
7019,doceri-view,doceri drawing service screen view
7026,loreji-panel,Loreji Webhosting Panel
7031,iposplanet,IPOSPLANET retailing multi devices protocol
7040,quest-disc,Quest application level network service discovery
7072,iba-cfg,iba Device Configuration Protocol
7072,iba-cfg-disc,iba Device Configuration Protocol
7073,martalk,MarTalk protocol
7088,zixi-transport,Zixi live video transport protocol
7095,jdp-disc,Java Discovery Protocol
